"study","dataset","variable","label","label_de","concept","questionnaire","question","item","description","description_de"
"twinlife","ZA6701_person_v3-0-0","dia1301","chronic back problems: begin month","Chronische Rueckenbeschwerden: Beginn Monat",,"twinlife-2014-F2F_Modul5_CASI","dia1301",1,"Adapted from: The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2011. ; https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394180.de/soepfrabo_personen_2011_en.pdf  ","Adaptiert von: Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2011. ; www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394133.de/soepfrabo_personen_2011.pdf"
"twinlife","ZA6701_person_v3-0-0","dia1302","chronic back problems: begin year","Chronische Rueckenbeschwerden: Beginn Jahr",,"twinlife-2014-F2F_Modul5_CASI","dia1301",2,"Adapted from: The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2011. ; https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394180.de/soepfrabo_personen_2011_en.pdf  ","Adaptiert von: Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2011. ; www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394133.de/soepfrabo_personen_2011.pdf"
"twinlife","ZA6701_person_v3-0-0","dia1303","chronic back problems: end month","Chronische Rueckenbeschwerden: Ende Monat",,"twinlife-2014-F2F_Modul5_CASI","dia1301",3,"Adapted from: The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2011. ; https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394180.de/soepfrabo_personen_2011_en.pdf  ","Adaptiert von: Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2011. ; www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394133.de/soepfrabo_personen_2011.pdf"
"twinlife","ZA6701_person_v3-0-0","dia1304","chronic back problems: end year","Chronische Rueckenbeschwerden: Ende Jahr",,"twinlife-2014-F2F_Modul5_CASI","dia1301",4,"Adapted from: The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2011. ; https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394180.de/soepfrabo_personen_2011_en.pdf  ","Adaptiert von: Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2011. ; www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394133.de/soepfrabo_personen_2011.pdf"
"twinlife","ZA6701_person_v3-0-0","dia1400","diagnosis: physical disability","Diagnose: Koerperbehinderung",,"twinlife-2014-F2F_Modul5_CASI","dia0100",14,"Adapted from: The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2011. ; https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394180.de/soepfrabo_personen_2011_en.pdf  ","Adaptiert von: Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2011. ; www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394133.de/soepfrabo_personen_2011.pdf"
"twinlife","ZA6701_person_v3-0-0","dia1401","physical disability: begin month","Koerperbehinderung: Beginn Monat",,"twinlife-2014-F2F_Modul5_CASI","dia1401",1,"Adapted from: The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2011. ; https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394180.de/soepfrabo_personen_2011_en.pdf  ","Adaptiert von: Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2011. ; www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394133.de/soepfrabo_personen_2011.pdf"
"twinlife","ZA6701_person_v3-0-0","dia1402","physical disability: begin year","Koerperbehinderung: Beginn Jahr",,"twinlife-2014-F2F_Modul5_CASI","dia1401",2,"Adapted from: The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2011. ; https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394180.de/soepfrabo_personen_2011_en.pdf  ","Adaptiert von: Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2011. ; www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394133.de/soepfrabo_personen_2011.pdf"
"twinlife","ZA6701_person_v3-0-0","dia1403","physical disability: end month","Koerperbehinderung: Ende Monat",,"twinlife-2014-F2F_Modul5_CASI","dia1401",3,"Adapted from: The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2011. ; https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394180.de/soepfrabo_personen_2011_en.pdf  ","Adaptiert von: Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2011. ; www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394133.de/soepfrabo_personen_2011.pdf"
"twinlife","ZA6701_person_v3-0-0","dia1404","physical disability: end year","Koerperbehinderung: Ende Jahr",,"twinlife-2014-F2F_Modul5_CASI","dia1401",4,"Adapted from: The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2011. ; https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394180.de/soepfrabo_personen_2011_en.pdf  ","Adaptiert von: Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2011. ; www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394133.de/soepfrabo_personen_2011.pdf"
"twinlife","ZA6701_person_v3-0-0","dia1500","diagnosis: other physical or mental illness/disease","Diagnose: Sonst. koerperliche o. psychische Erkrankung",,"twinlife-2014-F2F_Modul5_CASI","dia0100",15,"Adapted from: The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2011. ; https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394180.de/soepfrabo_personen_2011_en.pdf  ","Adaptiert von: Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2011. ; www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394133.de/soepfrabo_personen_2011.pdf"
"twinlife","ZA6701_person_v3-0-0","dia1501","other physical or mental illness/disease: begin month","Sonst. koerperliche oder psychiche Erkrankung: Beginn Monat",,"twinlife-2014-F2F_Modul5_CASI","dia1501",1,"Adapted from: The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2011. ; https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394180.de/soepfrabo_personen_2011_en.pdf  ","Adaptiert von: Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2011. ; www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394133.de/soepfrabo_personen_2011.pdf"
"twinlife","ZA6701_person_v3-0-0","dia1502","other physical or mental illness/disease: begin year","Sonst. koerperliche oder psychiche Erkrankung: Beginn Jahr",,"twinlife-2014-F2F_Modul5_CASI","dia1501",2,"Adapted from: The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2011. ; https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394180.de/soepfrabo_personen_2011_en.pdf  ","Adaptiert von: Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2011. ; www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394133.de/soepfrabo_personen_2011.pdf"
"twinlife","ZA6701_person_v3-0-0","dia1503","other physical or mental illness/disease: end month","Sonst. koerperliche oder psychiche Erkrankung: Ende Monat",,"twinlife-2014-F2F_Modul5_CASI","dia1501",3,"Adapted from: The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2011. ; https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394180.de/soepfrabo_personen_2011_en.pdf  ","Adaptiert von: Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2011. ; www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394133.de/soepfrabo_personen_2011.pdf"
"twinlife","ZA6701_person_v3-0-0","dia1504","other physical or mental illness/disease: end year","Sonst. koerperl. o. psychiche Erkrankung: Ende Jahr",,"twinlife-2014-F2F_Modul5_CASI","dia1501",4,"Adapted from: The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2011. ; https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394180.de/soepfrabo_personen_2011_en.pdf  ","Adaptiert von: Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2011. ; www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394133.de/soepfrabo_personen_2011.pdf"
"twinlife","ZA6701_person_v3-0-0","dia1800","diagnosis: no illness/disease diagnosed","Diagnose: Keine Erkrankung festgestellt",,"twinlife-2014-F2F_Modul5_CASI","dia0100",16,"Adapted from: The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2011. ; https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394180.de/soepfrabo_personen_2011_en.pdf  ","Adaptiert von: Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2011. ; www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394133.de/soepfrabo_personen_2011.pdf"
"twinlife","ZA6701_person_v3-0-0","dia2000","diagnosis: don't know","Diagnose: Weiss nicht",,"twinlife-2014-F2F_Modul5_CASI","dia0100",17,"Adapted from: The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2011. ; https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394180.de/soepfrabo_personen_2011_en.pdf  ","Adaptiert von: Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2011. ; www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394133.de/soepfrabo_personen_2011.pdf"
"twinlife","ZA6701_person_v3-0-0","dia2100","diagnosis: no answer (refused to answer)","Diagnose: Keine Angabe",,"twinlife-2014-F2F_Modul5_CASI","dia0100",18,"Adapted from: The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2011. ; https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394180.de/soepfrabo_personen_2011_en.pdf  ","Adaptiert von: Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2011. ; www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394133.de/soepfrabo_personen_2011.pdf"
"twinlife","ZA6701_person_v3-0-0","dia3097","diagnosis: no illness/disease recorded  (>= 15 yr)","Diagnose: Keine Erkrankung festgestellt  (>= 15 J.)",,"twinlife-2016-CATI_Personenfragebogen","dia3100",17,"Adapted from: The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2011. ; https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394180.de/soepfrabo_personen_2011_en.pdf  ","Adaptiert von: Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2011. ; www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394133.de/soepfrabo_personen_2011.pdf"
"twinlife","ZA6701_person_v3-0-0","dia3098","diagnosis: do not know  (>= 15 yr)","Diagnose: Weiss nicht  (>= 15 J.)",,"twinlife-2016-CATI_Personenfragebogen","dia3100",18,"Adapted from: The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2011. ; https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394180.de/soepfrabo_personen_2011_en.pdf  ","Adaptiert von: Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2011. ; www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394133.de/soepfrabo_personen_2011.pdf"
"twinlife","ZA6701_person_v3-0-0","dia3099","diagnosis: not specified  (>= 15 yr)","Diagnose: Keine Angabe  (>= 15 J.)",,"twinlife-2016-CATI_Personenfragebogen","dia3100",19,"Adapted from: The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2011. ; https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394180.de/soepfrabo_personen_2011_en.pdf  ","Adaptiert von: Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2011. ; www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394133.de/soepfrabo_personen_2011.pdf"
"twinlife","ZA6701_person_v3-0-0","dia3100","diagnosis: sleeping disorder  (>= 15 yr)","Diagnose: Schlafstoerungen  (>= 15 J.)",,"twinlife-2016-CATI_Personenfragebogen","dia3100",1,"Adapted from: The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2011. ; https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394180.de/soepfrabo_personen_2011_en.pdf  ","Adaptiert von: Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2011. ; www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394133.de/soepfrabo_personen_2011.pdf"
"twinlife","ZA6701_person_v3-0-0","dia3200","diagnosis: diabetes  (>= 15 yr)","Diagnose: Diabetes  (>= 15 J.)",,"twinlife-2016-CATI_Personenfragebogen","dia3100",2,"Adapted from: The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2011. ; https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394180.de/soepfrabo_personen_2011_en.pdf  ","Adaptiert von: Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2011. ; www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394133.de/soepfrabo_personen_2011.pdf"
"twinlife","ZA6701_person_v3-0-0","dia3300","diagnosis: respiratory disease  (>= 15 yr)","Diagnose: Atemwegserkrankung  (>= 15 J.)",,"twinlife-2016-CATI_Personenfragebogen","dia3100",3,"Adapted from: The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2011. ; https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394180.de/soepfrabo_personen_2011_en.pdf  ","Adaptiert von: Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2011. ; www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394133.de/soepfrabo_personen_2011.pdf"
"twinlife","ZA6701_person_v3-0-0","dia3400","diagnosis: heart disease  (>= 15 yr)","Diagnose: Herzkrankheit  (>= 15 J.)",,"twinlife-2016-CATI_Personenfragebogen","dia3100",4,"Adapted from: The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2011. ; https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394180.de/soepfrabo_personen_2011_en.pdf  ","Adaptiert von: Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2011. ; www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394133.de/soepfrabo_personen_2011.pdf"
"twinlife","ZA6701_person_v3-0-0","dia3500","diagnosis: cancer  (>= 15 yr)","Diagnose: Krebserkrankungen  (>= 15 J.)",,"twinlife-2016-CATI_Personenfragebogen","dia3100",5,"Adapted from: The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2011. ; https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394180.de/soepfrabo_personen_2011_en.pdf  ","Adaptiert von: Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2011. ; www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394133.de/soepfrabo_personen_2011.pdf"
"twinlife","ZA6701_person_v3-0-0","dia3600","diagnosis: stroke  (>= 15 yr)","Diagnose: Schlaganfall  (>= 15 J.)",,"twinlife-2016-CATI_Personenfragebogen","dia3100",6,"Adapted from: The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2011. ; https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394180.de/soepfrabo_personen_2011_en.pdf  ","Adaptiert von: Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2011. ; www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394133.de/soepfrabo_personen_2011.pdf"
"twinlife","ZA6701_person_v3-0-0","dia3700","diagnosis: migraine  (>= 15 yr)","Diagnose: Migraene  (>= 15 J.)",,"twinlife-2016-CATI_Personenfragebogen","dia3100",7,"Adapted from: The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2011. ; https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394180.de/soepfrabo_personen_2011_en.pdf  ","Adaptiert von: Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2011. ; www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394133.de/soepfrabo_personen_2011.pdf"
"twinlife","ZA6701_person_v3-0-0","dia3800","diagnosis: high blood pressure  (>= 15 yr)","Diagnose: Bluthochdruck  (>= 15 J.)",,"twinlife-2016-CATI_Personenfragebogen","dia3100",8,"Adapted from: The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2011. ; https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394180.de/soepfrabo_personen_2011_en.pdf  ","Adaptiert von: Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2011. ; www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394133.de/soepfrabo_personen_2011.pdf"
"twinlife","ZA6701_person_v3-0-0","dia3900","diagnosis: anxiety disorder  (>= 15 yr)","Diagnose: Angsterkrankung  (>= 15 J.)",,"twinlife-2016-CATI_Personenfragebogen","dia3100",9,"Adapted from: The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2011. ; https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394180.de/soepfrabo_personen_2011_en.pdf  ","Adaptiert von: Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2011. ; www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394133.de/soepfrabo_personen_2011.pdf"
"twinlife","ZA6701_person_v3-0-0","dia4000","diagnosis: alcohol addiction  (>= 15 yr)","Diagnose: Alkoholerkrankung  (>= 15 J.)",,"twinlife-2016-CATI_Personenfragebogen","dia3100",10,"Adapted from: The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2011. ; https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394180.de/soepfrabo_personen_2011_en.pdf  ","Adaptiert von: Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2011. ; www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394133.de/soepfrabo_personen_2011.pdf"
"twinlife","ZA6701_person_v3-0-0","dia4100","diagnosis: depressive illness  (>= 15 yr)","Diagnose: Depressive Erkrankung  (>= 15 J.)",,"twinlife-2016-CATI_Personenfragebogen","dia3100",11,"Adapted from: The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2011. ; https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394180.de/soepfrabo_personen_2011_en.pdf  ","Adaptiert von: Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2011. ; www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394133.de/soepfrabo_personen_2011.pdf"
"twinlife","ZA6701_person_v3-0-0","dia4200","diagnosis: arthropathy  (>= 15 yr)","Diagnose: Gelenkerkrankung  (>= 15 J.)",,"twinlife-2016-CATI_Personenfragebogen","dia3100",12,"Adapted from: The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2011. ; https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394180.de/soepfrabo_personen_2011_en.pdf  ","Adaptiert von: Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2011. ; www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394133.de/soepfrabo_personen_2011.pdf"
"twinlife","ZA6701_person_v3-0-0","dia4300","diagnosis: chronic back problems  (>= 15 yr)","Diagnose: Chronische Rueckenbeschwerden  (>= 15 J.)",,"twinlife-2016-CATI_Personenfragebogen","dia3100",13,"Adapted from: The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2011. ; https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394180.de/soepfrabo_personen_2011_en.pdf  ","Adaptiert von: Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2011. ; www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394133.de/soepfrabo_personen_2011.pdf"
"twinlife","ZA6701_person_v3-0-0","dia4400","diagnosis: physical disability  (>= 15 yr)","Diagnose: Koerperbehinderung  (>= 15 J.)",,"twinlife-2016-CATI_Personenfragebogen","dia3100",14,"Adapted from: The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2011. ; https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394180.de/soepfrabo_personen_2011_en.pdf  ","Adaptiert von: Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2011. ; www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394133.de/soepfrabo_personen_2011.pdf"
"twinlife","ZA6701_person_v3-0-0","dia4500","diagnosis: other physical or mental illness/disease  (>= 15 yr)","Diagnose: Sonst. koerperliche o. psychische Erkrankung  (>= 15 J.)",,"twinlife-2016-CATI_Personenfragebogen","dia3100",15,"Adapted from: The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2011. ; https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394180.de/soepfrabo_personen_2011_en.pdf  ","Adaptiert von: Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2011. ; www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394133.de/soepfrabo_personen_2011.pdf"
"twinlife","ZA6701_person_v3-0-0","dia4700","diagnosis: attention deficit disorder, hyperactivity (ADHD / ADD)  (>= 15 yr)","Diagnose: Aufmerksamkeitsstoerung, Hyperaktivitaet (ADHS/ADS)  (>= 15 J.)",,"twinlife-2016-CATI_Personenfragebogen","dia3100",16,"Adapted from: The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2011. ; https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394180.de/soepfrabo_personen_2011_en.pdf  ","Adaptiert von: Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2011. ; www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394133.de/soepfrabo_personen_2011.pdf"
"twinlife","ZA6701_person_v3-0-0","dia5000s","diagnosis: respiratory illness (sibling)","Diagnose: Atemwegserkrankungen (Geschwister)",,"twinlife-2014-F2F_Modul7_EueK","dia5000s",1,"Adapted from: The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2011. ; https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394180.de/soepfrabo_personen_2011_en.pdf  ","Adaptiert von: Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2011. ; www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394133.de/soepfrabo_personen_2011.pdf"
"twinlife","ZA6701_person_v3-0-0","dia5000t","diagnosis: respiratory illness (twin 1)","Diagnose: Atemwegserkrankungen (Zwilling 1)",,"twinlife-2014-F2F_Modul7_EueK","dia5000t",1,"Adapted from: The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2011. ; https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394180.de/soepfrabo_personen_2011_en.pdf  ","Adaptiert von: Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2011. ; www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394133.de/soepfrabo_personen_2011.pdf"
"twinlife","ZA6701_person_v3-0-0","dia5000u","diagnosis: respiratory illness (twin 2)","Diagnose: Atemwegserkrankungen (Zwilling 2)",,"twinlife-2014-F2F_Modul7_EueK","dia5000u",1,"Adapted from: The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2011. ; https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394180.de/soepfrabo_personen_2011_en.pdf  ","Adaptiert von: Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2011. ; www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394133.de/soepfrabo_personen_2011.pdf"
"twinlife","ZA6701_person_v3-0-0","dia5001s","respiratory illness sibling: beginning (month)","Atemwegserkrankung Geschwister: Beginn Monat",,"twinlife-2014-F2F_Modul7_EueK","dia5001s",1,"Adapted from: The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2011. ; https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394180.de/soepfrabo_personen_2011_en.pdf  ","Adaptiert von: Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2011. ; www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394133.de/soepfrabo_personen_2011.pdf"
"twinlife","ZA6701_person_v3-0-0","dia5001t","respiratory illness twin 1: beginning (month)","Atemwegserkrankung Z1: Beginn Monat",,"twinlife-2014-F2F_Modul7_EueK","dia5001t",1,"Adapted from: The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2011. ; https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394180.de/soepfrabo_personen_2011_en.pdf  ","Adaptiert von: Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2011. ; www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394133.de/soepfrabo_personen_2011.pdf"
"twinlife","ZA6701_person_v3-0-0","dia5001u","respiratory illness twin 2: beginning (month)","Atemwegserkrankung Z2: Beginn Monat",,"twinlife-2014-F2F_Modul7_EueK","dia5001u",1,"Adapted from: The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2011. ; https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394180.de/soepfrabo_personen_2011_en.pdf  ","Adaptiert von: Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2011. ; www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394133.de/soepfrabo_personen_2011.pdf"
"twinlife","ZA6701_person_v3-0-0","dia5002s","respiratory illness sibling: beginning (year)","Atemwegserkrankung Geschwister: Beginn Jahr",,"twinlife-2014-F2F_Modul7_EueK","dia5001s",2,"Adapted from: The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2011. ; https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394180.de/soepfrabo_personen_2011_en.pdf  ","Adaptiert von: Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2011. ; www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394133.de/soepfrabo_personen_2011.pdf"
"twinlife","ZA6701_person_v3-0-0","dia5002t","respiratory illness twin 1: beginning (year)","Atemwegserkrankung Z1: Beginn Jahr",,"twinlife-2014-F2F_Modul7_EueK","dia5001t",2,"Adapted from: The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2011. ; https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394180.de/soepfrabo_personen_2011_en.pdf  ","Adaptiert von: Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2011. ; www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394133.de/soepfrabo_personen_2011.pdf"
"twinlife","ZA6701_person_v3-0-0","dia5002u","respiratory illness twin 2: beginning (year)","Atemwegserkrankung Z2: Beginn Jahr",,"twinlife-2014-F2F_Modul7_EueK","dia5001u",2,"Adapted from: The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2011. ; https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394180.de/soepfrabo_personen_2011_en.pdf  ","Adaptiert von: Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2011. ; www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394133.de/soepfrabo_personen_2011.pdf"
"twinlife","ZA6701_person_v3-0-0","dia5003s","respiratory illness sibling: end (month)","Atemwegserkrankung Geschwister: Ende Monat",,"twinlife-2014-F2F_Modul7_EueK","dia5001s",3,"Adapted from: The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2011. ; https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394180.de/soepfrabo_personen_2011_en.pdf  ","Adaptiert von: Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2011. ; www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394133.de/soepfrabo_personen_2011.pdf"
