"study","questionnaire","answer_list","value","label","label_de"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","edu0400_2",4,"4: intermediate level secondary school/integrated lower and intermediate level secondary school","4: Realschul/Verbundene Haupt- und Realschule"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","edu0400_2",5,"5: comprehensive secondary school","5: Gesamtschule (auch integrierte Schule)"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","edu0400_2",6,"6: higher secondary school","6: Gymnasium (auch Kolleg)"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","edu0400_2",7,"7: school for handicaped children","7: Sonderschule/Foerderschule"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","emp0200",-99,"-99: not specified (refused to answer)","-99: keine Angabe (Antwortverweigerung)"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","emp0200",-98,"-98: don't know","-98: weiss nicht"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","emp0200",1,"1: [only women younger than 50 years] yes, maternity leave","1: [nur bei Frauen juenger als 50 Jahre] ja, Mutterschutz"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","emp0200",2,"2: yes, parental leave","2: ja, Elternzeit"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","emp0200",3,"3: leave of absence/special leave for childcare","3: Beurlaubung/Sonderurlaub wegen Kinderbetreuung"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","emp0200",4,"4: no","4: nein"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","emp0400",-99,"-99: not specified (refused to answer)","-99: keine Angabe (Antwortverweigerung)"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","emp0400",-98,"-98: don't know","-98: weiss nicht"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","emp0400",1,"1: full-time employment","1: voll erwerbstaetig"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","emp0400",2,"2: employed on a part-time basis (also with several part-time employments)","2: in Teilzeitbeschaeftigung"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","emp0400",3,"3: in-company training/apprenticeship or vocational retraining","3: in betrieblicher Ausbildung/Lehre oder betrieblicher Umschulung"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","emp0400",4,"4: marginally employed, Mini-jobs, One-Euro-jobs, e.g., when drawing unemployment benefit type 2","4: geringfuegig erwerbstaetig, Mini Job, Ein-Euro-Job, z.B. bei Bezug von Arbeitslosengeld 2"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","emp0400",5,"5: occasionally or irregularly employed","5: gelegentlich oder unregelmaessig beschaeftigt"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","emp0400",6,"6: voluntary military service","6: freiwilliger Wehrdienst"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","emp0400",7,"7: voluntary social/ecological year, German federal volunteer service","7: freiwilliges soziales/oekologisches Jahr, Bundesfreiwilligendienst"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","emp0400",8,"8: partial retirement with zero working hours","8: in Altersteilzeit mit Arbeitszeit Null"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","emp0400",9,"9: early retirement, retirement, occupational disablity","9: Vorruhestaendler, Rentner, erwerbsunfaehig"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","emp0400",10,"10: not gainfully employed","10: nicht erwerbstaetig"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","emp0400",11,"11: other, such as","11: sonstiges, und zwar"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","emp0600",-99,"-99: not specified (refused to answer)","-99: keine Angabe (Antwortverweigerung)"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","emp0600",-98,"-98: don't know","-98: weiss nicht"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","emp0600",1,"1: Blue-collar worker (Arbeiter) (also in agriculture)","1: Arbeiter/in (auch in der Landwirtschaft)"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","emp0600",2,"2: White-collar worker(Angestellte)","2: Angestellte/r"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","emp0600",3,"3: Civil servant (including judges and professional soldiers)","3: Beamte/r (einschliesslich Richter und Berufssoldaten)"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","emp0600",4,"4: Self-employed (including family members working for the self-employed)","4: Selbstaendige/r (einschl. mithelfende Familienangehoerige)"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","emp0600",5,"5: apprentices / trainees / interns","5: Auszubildende und Praktikanten"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","emp0700",-99,"-99: not specified (refused to answer)","-99: keine Angabe (Antwortverweigerung)"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","emp0700",-98,"-98: don't know","-98: weiss nicht"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","emp0705",-99,"-99: not specified (refused to answer)","-99: keine Angabe (Antwortverweigerung)"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","emp0705",-98,"-98: don't know","-98: weiss nicht"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","emp0705",999,"999: no contractually defined working hours","999: keine festgelegte Arbeitszeit"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","emp0800",-99,"-99: not specified (refused to answer)","-99: keine Angabe (Antwortverweigerung)"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","emp0800",-98,"-98: don't know","-98: weiss nicht"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","emp0800",97,"97: not employed until now","97: hatte noch keine Stelle"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","emp0801",-99,"-99: not specified (refused to answer)","-99: keine Angabe (Antwortverweigerung)"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","emp0801",-98,"-98: don't know","-98: weiss nicht"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","emp0801",9997,"9997: not employed until now","9997: hatte noch keine Stelle"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","emp0804",-99,"-99: not specified (refused to answer)","-99: keine Angabe (Antwortverweigerung)"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","emp0804",-98,"-98: don't know","-98: weiss nicht"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","emp0804",1,"1: shutdown of company/closure of department","1: wegen Betriebsstilllegung/Aufloesung der Dienststelle"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","emp0804",2,"2: dismissal/dissolution contract at one's own request","2: durch eigene Kuendigung/Aufloesungsvertrag auf eigenen Wunsch"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","emp0804",3,"3: dismissal/dissolution contract at employers request","3: durch Kuendigung von Seiten des Arbeitgebers/Aufloesungsvertrag auf Wunsch des Arbeitgebers"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","emp0804",4,"4: end of temporary employment or apprenticeship","4: befristete Beschaeftigung oder Ausbildung war beendet"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","emp0804",5,"5: reach of age limit/retirement age/pensionable age","5: erreichen der Altersgrenze/Rente/Pension"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","emp0804",6,"6: cessation of self-employment/business","6: Aufgabe der selbstaendigen Taetigkeit/des Geschaefts"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","fam",-99,"-99: not specified (refused to answer)","-99: keine Angabe (Antwortverweigerung)"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","fam",-98,"-98: don't know","-98: weiss nicht"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","fam",1,"1: married, cohabitating","1: verheiratet, mit Ehepartner zusammenlebend"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","fam",2,"2: married, living permanently apart","2: verheiratet, dauerhaft getrennt lebend"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","fam",3,"3: registered same-sex partnership, cohabitating with partner","3: eingetragene gleichgeschlechtliche Lebenspartnerschaft, mit Partner zusammenlebend"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","fam",4,"4: registered same-sex partnership, living permanently apart","4: eingetragene gleichgeschlechtliche Lebenspartnerschaft, dauerhaft getrennt lebend"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","fam",5,"5: single","5: ledig"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","fam",6,"6: divorced/seperated","6: geschieden/entpartnert"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","fam",7,"7: widowed/bereaved","7: verwitwet/partnerhinterblieben"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","fre4",-99,"-99: not specified (refused to answer)","-99: keine Angabe (Antwortverweigerung)"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","fre4",-98,"-98: don't know","-98: weiss nicht"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","fre4",1,"1: every week","1: jede Woche"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","fre4",2,"2: every month","2: jeden Monat"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","fre4",3,"3: less than once a month","3: seltener als 1-mal im Monat"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","fre4",4,"4: never","4: nie"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","fre5",-99,"-99: not specified (refused to answer)","-99: keine Angabe (Antwortverweigerung)"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","fre5",-98,"-98: don't know","-98: weiss nicht"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","fre5",1,"1: never","1: nie"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","fre5",2,"2: rarely","2: selten"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","fre5",3,"3: occasionally","3: manchmal"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","fre5",4,"4: often","4: oft"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","fre5",5,"5: very often","5: sehr oft"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","fre5_3",-99,"-99: not specified (refused to answer)","-99: keine Angabe (Antwortverweigerung)"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","fre5_3",-98,"-98: don't know","-98: weiss nicht"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","fre5_3",1,"1: always","1: immer"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","fre5_3",2,"2: often","2: oft"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","fre5_3",3,"3: sometimes","3: manchmal"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","fre5_3",4,"4: almost never","4: fast nie"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","fre5_3",5,"5: never","5: nie"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","hbe0100",-99,"-99: not specified (refused to answer)","-99: keine Angabe (Antwortverweigerung)"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","hbe0100",-98,"-98: don't know","-98: weiss nicht"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","hbe0100",1,"1: yes, I'm a heavy smoker","1: ja, ich bin starker Raucher"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","hbe0100",2,"2: yes, I'm a smoker","2: ja, ich bin maessiger Raucher"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","hbe0100",3,"3: yes, I'm a light smoker","3: ja, ich bin Wenig-Raucher"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","hbe0100",4,"4: yes, I'm a social smoker","4: ja, ich bin Gelegenheits-Raucher"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","hbe0100",5,"5: no, I'm a former smoker (I don't smoke anymore, but I did smoke)","5: nein, ich bin Ex-Raucher (rauche nicht mehr, habe aber frueher geraucht)"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","hbe0100",6,"6: no, I never smoked (I don't smoked and I never smoked in the past)","6: nein, ich bin Nie-Raucher (rauche jetzt nicht und habe frueher nicht geraucht)"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","hbe0200",-99,"-99: not specified (refused to answer)","-99: keine Angabe (Antwortverweigerung)"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","hbe0200",-98,"-98: don't know","-98: weiss nicht"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","hbe0200",97,"97: I did never drink alcohol","97: ich habe noch nie Alkohol getrunken"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","hbe0202",-99,"-99: not specified (refused to answer)","-99: keine Angabe (Antwortverweigerung)"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","hbe0202",-98,"-98: don't know","-98: weiss nicht"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","hbe0202",1,"1: daily","1: taeglich"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","hbe0202",2,"2: several times per week","2: mehrmals pro Woche"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","hbe0202",3,"3: once a week","3: 1-mal pro Woche"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","hbe0202",4,"4: 1 to 3 times per month","4: 1 bis 3-mal im Monat"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","hbe0202",5,"5: less frequently","5: seltener"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","hbe0202",6,"6: never","6: nie"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","hbe0400",-99,"-99: not specified (refused to answer)","-99: keine Angabe (Antwortverweigerung)"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","hbe0400",-98,"-98: don't know","-98: weiss nicht"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","hbe0400",1,"1: not at all","1: gar nicht"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","hbe0400",2,"2: a bit","2: ein wenig"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","hbe0400",3,"3: rather a lot","3: eher viel"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","hbe0400",4,"4: a lot","4: sehr viel"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","inc0103",-99,"-99: not specified (refused to answer)","-99: keine Angabe (Antwortverweigerung)"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","inc0103",-98,"-98: don't know","-98: weiss nicht"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","inc0103",1,"1: below 500 Euro","1: unter 500 Euro"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","inc0103",2,"2: 500 up to below 1,000 Euro","2: 500 bis unter 1.000 Euro"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","inc0103",3,"3: 1,000 up to below 1,500 Euro","3: 1.000 bis unter 1.500 Euro"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","inc0103",4,"4: 1,500 up to below 2,000 Euro","4: 1.500 bis unter 2.000 Euro"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","inc0103",5,"5: 2,000 up to below 2,500 Euro","5: 2.000 bis unter 2.500 Euro"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","inc0103",6,"6: 2,500 up to below 3,000 Euro","6: 2.500 bis unter 3.000 Euro"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","inc0103",7,"7: 3,000 up to below 4,000 Euro","7: 3.000 bis unter 4.000 Euro"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","inc0103",8,"8: 4,000 up to below 5,000 Euro","8: 4.000 bis unter 5.000 Euro"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","inc0103",9,"9: 5,000 up to below 6,000 Euro","9: 5.000 bis unter 6.000 Euro"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","inc0103",10,"10: 6,000 up to below 7,000 Euro","10: 6.000 bis unter 7.000 Euro"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","inc0103",11,"11: 7,000 up to below 8,000 Euro","11: 7.000 bis unter 8.000 Euro"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","inc0103",12,"12: 8,000 up to below 10,000 Euro","12: 8.000 bis unter 10.000 Euro"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","inc0103",13,"13: 10,000 up to below 20,000 Euro","13: 10.000 bis unter 20.000 Euro"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","inc0103",14,"14: 20,000 Euro and above","14: 20.000 Euro und mehr"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","med0100",-99,"-99: not specified (refused to answer)","-99: keine Angabe (Antwortverweigerung)"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","med0100",-98,"-98: don't know","-98: weiss nicht"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","med0100",-96,"-96: I can't remember","-96: ich kann mich nicht erinnern"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","med0100",99,"99: doesn't apply (eexplicit reply)","99: trifft nicht zu (explizite Auskunft)"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","mig",-99,"-99: not specified (refused to answer)","-99: keine Angabe (Antwortverweigerung)"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","mig",-98,"-98: don't know","-98: weiss nicht"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","mig",1,"1: Germany (FRG)","1: Deutschland (Bundesrepublik)"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","mig",2,"2: Germany (GDR)","2: Deutschland (ehemalige DDR)"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","mig",3,"3: Turkey","3: Tuerkei"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","mig",4,"4: Russian Federation","4: Russische Foederation"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","mig",5,"5: Poland","5: Polen"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","mig",6,"6: Italia","6: Italien"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","mig",7,"7: Serbia","7: Serbien"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","mig",8,"8: Croatia","8: Kroatien"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","mig",9,"9: Greece","9: Griechenland"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","mig",10,"10: Romania","10: Rumaenien"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","mig",11,"11: Kazakstan","11: Kasachstan"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","mig",12,"12: Bosnia-Herzegovina","12: Bosnien-Herzegowina"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","mig",13,"13: Spain","13: Spanien"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","mig",14,"14: in another country, namely","14: in einem anderen Land, und zwar"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","mis",-99,"-99: not specified (refused to answer)","-99: keine Angabe (Antwortverweigerung)"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","mis",-98,"-98: don't know","-98: weiss nicht"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","mis",-96,"-96: I can't remember","-96: ich kann mich nicht erinnern"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","mn",-99,"-99: not specified (refused to answer)","-99: keine Angabe (Antwortverweigerung)"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","mn",-98,"-98: don't know","-98: weiss nicht"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","mn",0,"0: not mentioned","0: nicht genannt"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","mn",1,"1: mentioned","1: genannt"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","net0300",-99,"-99: not specified (refused to answer)","-99: keine Angabe (Antwortverweigerung)"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","net0300",-98,"-98: don't know","-98: weiss nicht"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","net0300",999,"999: there is no person","999: es gibt keine Person"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","nuts1",-99,"-99: not specified (refused to answer)","-99: keine Angabe (Antwortverweigerung)"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","nuts1",-98,"-98: don't know","-98: weiss nicht"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","nuts1",1,"1: Baden-Wuerttemberg","1: Baden-Wuerttemberg"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","nuts1",2,"2: Bavaria","2: Bayern"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","nuts1",3,"3: Berlin","3: Berlin"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","nuts1",4,"4: Brandenburg","4: Brandenburg"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","nuts1",5,"5: Bremen","5: Bremen"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","nuts1",6,"6: Hamburg","6: Hamburg"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","nuts1",7,"7: Hesse","7: Hessen"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","nuts1",8,"8: Mecklenburg-West Pomerania","8: Mecklenburg-Vorpommern"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","nuts1",9,"9: Lower Saxony","9: Niedersachsen"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","nuts1",10,"10: North Rhine-Westphalia","10: Nordrhein-Westfalen"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","nuts1",11,"11: Rhineland-Palatinate","11: Rheinland-Pfalz"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","nuts1",12,"12: Saarland","12: Saarland"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","nuts1",13,"13: Saxony","13: Sachsen"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","nuts1",14,"14: Saxony-Anhalt","14: Sachsen-Anhalt"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","nuts1",15,"15: Schleswig-Holstein","15: Schleswig-Holstein"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","nuts1",16,"16: Thuringia","16: Thueringen"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","pas0300f",-99,"-99: not specified (refused to answer)","-99: keine Angabe (Antwortverweigerung)"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","pas0300f",-98,"-98: don't know","-98: weiss nicht"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","pas0300f",1,"1: Biological father","1: Leiblicher Vater"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","pas0300f",2,"2: Adoptive father","2: Adoptivvater"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","pas0300f",3,"3: Step father","3: Stiefvater"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","pas0300m",-99,"-99: not specified (refused to answer)","-99: keine Angabe (Antwortverweigerung)"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","pas0300m",-98,"-98: don't know","-98: weiss nicht"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","pas0300m",1,"1: Biological mother","1: Leibliche Mutter"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","pas0300m",2,"2: Adoptive mother","2: Adoptivmutter"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","pas0300m",3,"3: Step mother","3: Stiefmutter"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","per0200",-99,"-99: not specified (refused to answer)","-99: keine Angabe (Antwortverweigerung)"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","per0200",-98,"-98: don't know","-98: weiss nicht"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","per0200",0,"0: not at all prepared to take risks","0: gar nicht risikobereit"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","per0200",1,"1","1"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","per0200",2,"2","2"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","per0200",3,"3","3"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","per0200",4,"4","4"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","per0200",5,"5","5"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","per0200",6,"6","6"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","per0200",7,"7","7"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","per0200",8,"8","8"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","per0200",9,"9","9"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","per0200",10,"10: very prepared to take risks","10: sehr risikobereit"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","per0300",-99,"-99: not specified (refused to answer)","-99: keine Angabe (Antwortverweigerung)"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","per0300",-98,"-98: don't know","-98: weiss nicht"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","per0300",0,"0: very impatient","0: sehr ungeduldig"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","per0300",1,"1","1"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","per0300",2,"2","2"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","per0300",3,"3","3"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","per0300",4,"4","4"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","per0300",5,"5","5"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","per0300",6,"6","6"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","per0300",7,"7","7"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","per0300",8,"8","8"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","per0300",9,"9","9"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","per0300",10,"10: very patient","10: sehr geduldig"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","ple0101",-99,"-99: not specified (refused to answer)","-99: keine Angabe (Antwortverweigerung)"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","ple0101",-98,"-98: don't know","-98: weiss nicht"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","ple0101",95,"95: same time frame as twin 1","95: gleicher Zeitraum wie Zwilling 1"
"twinlife","twinlife-2014-F2F_Alteri-OnlineFragebogen","ple0101",96,"96: different time frame than twin 1","96: anderer Zeitraum als Zwilling 1"
