"study","questionnaire","question","item","number","concept","text","text_de","instruction","instruction_de","answer_list","scale","filter","goto","label","template.id","range","scripternotes","old.template.id","dataset","var_fix","description","description_de"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","med0497",,330,,"The next questions are about your media usage. How much time do you spend per day on the following devices or activities? Please state as precisely as possible how much time you spend on the activity outside of school or working hours.","Im Folgenden geht es um Ihre Mediennutzung. Wie lange beschaeftigen Sie sich durchschnittlich pro Tag mit folgenden Geraeten bzw. Aktivitaeten? Geben Sie bitte moeglichst genau an, wieviel Zeit Sie mit der jeweiligen Aktivitaet ausserhalb der Arbeits- oder Schulzeit verbringen.",,,"med0100","cat",,,,,,,,,,"Blossfeld, H. P., von Maurice, J., & Schneider, T. (2011). Grundidee, Konzeption und Design des Nationalen Bildungspanels fuer Deutschland (No. 1). NEPS Working Paper. Bamberg: Otto-Friedrich-Universitaet, National Educational Panel Study","Blossfeld, H. P., von Maurice, J., & Schneider, T. (2011). Grundidee, Konzeption und Design des Nationalen Bildungspanels fuer Deutschland (No. 1). NEPS Working Paper. Bamberg: Otto-Friedrich-Universitaet, National Educational Panel Study ; [[URL link]](https://www.uni-bamberg.de/fileadmin/inbil/Publikationen/Working-Papers/WP_I.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","med0500",,331,,"The next questions are about your media usage. How much time do you spend per day on the following devices or activities? Please state as precisely as possible how much time you spend on the activity outside of school or working hours.","Im Folgenden geht es um Ihre Mediennutzung. Wie lange beschaeftigen Sie sich durchschnittlich pro Tag mit folgenden Geraeten bzw. Aktivitaeten? Geben Sie bitte moeglichst genau an, wieviel Zeit Sie mit der jeweiligen Aktivitaet ausserhalb der Arbeits- oder Schulzeit verbringen.",,,"med0100","int",,,,,,,,,,"Blossfeld, H. P., von Maurice, J., & Schneider, T. (2011). Grundidee, Konzeption und Design des Nationalen Bildungspanels fuer Deutschland (No. 1). NEPS Working Paper. Bamberg: Otto-Friedrich-Universitaet, National Educational Panel Study","Blossfeld, H. P., von Maurice, J., & Schneider, T. (2011). Grundidee, Konzeption und Design des Nationalen Bildungspanels fuer Deutschland (No. 1). NEPS Working Paper. Bamberg: Otto-Friedrich-Universitaet, National Educational Panel Study ; [[URL link]](https://www.uni-bamberg.de/fileadmin/inbil/Publikationen/Working-Papers/WP_I.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","med0597",,332,,"The next questions are about your media usage. How much time do you spend per day on the following devices or activities? Please state as precisely as possible how much time you spend on the activity outside of school or working hours.","Im Folgenden geht es um Ihre Mediennutzung. Wie lange beschaeftigen Sie sich durchschnittlich pro Tag mit folgenden Geraeten bzw. Aktivitaeten? Geben Sie bitte moeglichst genau an, wieviel Zeit Sie mit der jeweiligen Aktivitaet ausserhalb der Arbeits- oder Schulzeit verbringen.",,,"med0100","cat",,,,,,,,,,"Blossfeld, H. P., von Maurice, J., & Schneider, T. (2011). Grundidee, Konzeption und Design des Nationalen Bildungspanels fuer Deutschland (No. 1). NEPS Working Paper. Bamberg: Otto-Friedrich-Universitaet, National Educational Panel Study","Blossfeld, H. P., von Maurice, J., & Schneider, T. (2011). Grundidee, Konzeption und Design des Nationalen Bildungspanels fuer Deutschland (No. 1). NEPS Working Paper. Bamberg: Otto-Friedrich-Universitaet, National Educational Panel Study ; [[URL link]](https://www.uni-bamberg.de/fileadmin/inbil/Publikationen/Working-Papers/WP_I.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","med0600",,333,,"The next questions are about your media usage. How much time do you spend per day on the following devices or activities? Please state as precisely as possible how much time you spend on the activity outside of school or working hours.","Im Folgenden geht es um Ihre Mediennutzung. Wie lange beschaeftigen Sie sich durchschnittlich pro Tag mit folgenden Geraeten bzw. Aktivitaeten? Geben Sie bitte moeglichst genau an, wieviel Zeit Sie mit der jeweiligen Aktivitaet ausserhalb der Arbeits- oder Schulzeit verbringen.",,,"med0100","int",,,,,,,,,,"Blossfeld, H. P., von Maurice, J., & Schneider, T. (2011). Grundidee, Konzeption und Design des Nationalen Bildungspanels fuer Deutschland (No. 1). NEPS Working Paper. Bamberg: Otto-Friedrich-Universitaet, National Educational Panel Study","Blossfeld, H. P., von Maurice, J., & Schneider, T. (2011). Grundidee, Konzeption und Design des Nationalen Bildungspanels fuer Deutschland (No. 1). NEPS Working Paper. Bamberg: Otto-Friedrich-Universitaet, National Educational Panel Study ; [[URL link]](https://www.uni-bamberg.de/fileadmin/inbil/Publikationen/Working-Papers/WP_I.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","med0697",,334,,"The next questions are about your media usage. How much time do you spend per day on the following devices or activities? Please state as precisely as possible how much time you spend on the activity outside of school or working hours.","Im Folgenden geht es um Ihre Mediennutzung. Wie lange beschaeftigen Sie sich durchschnittlich pro Tag mit folgenden Geraeten bzw. Aktivitaeten? Geben Sie bitte moeglichst genau an, wieviel Zeit Sie mit der jeweiligen Aktivitaet ausserhalb der Arbeits- oder Schulzeit verbringen.",,,"med0100","cat",,,,,,,,,,"Blossfeld, H. P., von Maurice, J., & Schneider, T. (2011). Grundidee, Konzeption und Design des Nationalen Bildungspanels fuer Deutschland (No. 1). NEPS Working Paper. Bamberg: Otto-Friedrich-Universitaet, National Educational Panel Study","Blossfeld, H. P., von Maurice, J., & Schneider, T. (2011). Grundidee, Konzeption und Design des Nationalen Bildungspanels fuer Deutschland (No. 1). NEPS Working Paper. Bamberg: Otto-Friedrich-Universitaet, National Educational Panel Study ; [[URL link]](https://www.uni-bamberg.de/fileadmin/inbil/Publikationen/Working-Papers/WP_I.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","med0700",,335,,"The next questions are about your media usage. How much time do you spend per day on the following devices or activities? Please state as precisely as possible how much time you spend on the activity outside of school or working hours.","Im Folgenden geht es um Ihre Mediennutzung. Wie lange beschaeftigen Sie sich durchschnittlich pro Tag mit folgenden Geraeten bzw. Aktivitaeten? Geben Sie bitte moeglichst genau an, wieviel Zeit Sie mit der jeweiligen Aktivitaet ausserhalb der Arbeits- oder Schulzeit verbringen.",,,"med0100","int",,,,,,,,,,"Blossfeld, H. P., von Maurice, J., & Schneider, T. (2011). Grundidee, Konzeption und Design des Nationalen Bildungspanels fuer Deutschland (No. 1). NEPS Working Paper. Bamberg: Otto-Friedrich-Universitaet, National Educational Panel Study","Blossfeld, H. P., von Maurice, J., & Schneider, T. (2011). Grundidee, Konzeption und Design des Nationalen Bildungspanels fuer Deutschland (No. 1). NEPS Working Paper. Bamberg: Otto-Friedrich-Universitaet, National Educational Panel Study ; [[URL link]](https://www.uni-bamberg.de/fileadmin/inbil/Publikationen/Working-Papers/WP_I.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","med0797",,336,,"The next questions are about your media usage. How much time do you spend per day on the following devices or activities? Please state as precisely as possible how much time you spend on the activity outside of school or working hours.","Im Folgenden geht es um Ihre Mediennutzung. Wie lange beschaeftigen Sie sich durchschnittlich pro Tag mit folgenden Geraeten bzw. Aktivitaeten? Geben Sie bitte moeglichst genau an, wieviel Zeit Sie mit der jeweiligen Aktivitaet ausserhalb der Arbeits- oder Schulzeit verbringen.",,,"med0100","cat",,,,,,,,,,"Blossfeld, H. P., von Maurice, J., & Schneider, T. (2011). Grundidee, Konzeption und Design des Nationalen Bildungspanels fuer Deutschland (No. 1). NEPS Working Paper. Bamberg: Otto-Friedrich-Universitaet, National Educational Panel Study","Blossfeld, H. P., von Maurice, J., & Schneider, T. (2011). Grundidee, Konzeption und Design des Nationalen Bildungspanels fuer Deutschland (No. 1). NEPS Working Paper. Bamberg: Otto-Friedrich-Universitaet, National Educational Panel Study ; [[URL link]](https://www.uni-bamberg.de/fileadmin/inbil/Publikationen/Working-Papers/WP_I.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","med0800",,337,,"The next questions are about your media usage. How much time do you spend per day on the following devices or activities? Please state as precisely as possible how much time you spend on the activity outside of school or working hours.","Im Folgenden geht es um Ihre Mediennutzung. Wie lange beschaeftigen Sie sich durchschnittlich pro Tag mit folgenden Geraeten bzw. Aktivitaeten? Geben Sie bitte moeglichst genau an, wieviel Zeit Sie mit der jeweiligen Aktivitaet ausserhalb der Arbeits- oder Schulzeit verbringen.",,,"med0100","int",,,,,,,,,,"Blossfeld, H. P., von Maurice, J., & Schneider, T. (2011). Grundidee, Konzeption und Design des Nationalen Bildungspanels fuer Deutschland (No. 1). NEPS Working Paper. Bamberg: Otto-Friedrich-Universitaet, National Educational Panel Study","Blossfeld, H. P., von Maurice, J., & Schneider, T. (2011). Grundidee, Konzeption und Design des Nationalen Bildungspanels fuer Deutschland (No. 1). NEPS Working Paper. Bamberg: Otto-Friedrich-Universitaet, National Educational Panel Study ; [[URL link]](https://www.uni-bamberg.de/fileadmin/inbil/Publikationen/Working-Papers/WP_I.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","med0897",,338,,"The next questions are about your media usage. How much time do you spend per day on the following devices or activities? Please state as precisely as possible how much time you spend on the activity outside of school or working hours.","Im Folgenden geht es um Ihre Mediennutzung. Wie lange beschaeftigen Sie sich durchschnittlich pro Tag mit folgenden Geraeten bzw. Aktivitaeten? Geben Sie bitte moeglichst genau an, wieviel Zeit Sie mit der jeweiligen Aktivitaet ausserhalb der Arbeits- oder Schulzeit verbringen.",,,"med0100","cat",,,,,,,,,,"Blossfeld, H. P., von Maurice, J., & Schneider, T. (2011). Grundidee, Konzeption und Design des Nationalen Bildungspanels fuer Deutschland (No. 1). NEPS Working Paper. Bamberg: Otto-Friedrich-Universitaet, National Educational Panel Study","Blossfeld, H. P., von Maurice, J., & Schneider, T. (2011). Grundidee, Konzeption und Design des Nationalen Bildungspanels fuer Deutschland (No. 1). NEPS Working Paper. Bamberg: Otto-Friedrich-Universitaet, National Educational Panel Study ; [[URL link]](https://www.uni-bamberg.de/fileadmin/inbil/Publikationen/Working-Papers/WP_I.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","med0900",,339,,"The next questions are about your media usage. How much time do you spend per day on the following devices or activities? Please state as precisely as possible how much time you spend on the activity outside of school or working hours.","Im Folgenden geht es um Ihre Mediennutzung. Wie lange beschaeftigen Sie sich durchschnittlich pro Tag mit folgenden Geraeten bzw. Aktivitaeten? Geben Sie bitte moeglichst genau an, wieviel Zeit Sie mit der jeweiligen Aktivitaet ausserhalb der Arbeits- oder Schulzeit verbringen.",,,"med0100","int",,,,,,,,,,"Blossfeld, H. P., von Maurice, J., & Schneider, T. (2011). Grundidee, Konzeption und Design des Nationalen Bildungspanels fuer Deutschland (No. 1). NEPS Working Paper. Bamberg: Otto-Friedrich-Universitaet, National Educational Panel Study","Blossfeld, H. P., von Maurice, J., & Schneider, T. (2011). Grundidee, Konzeption und Design des Nationalen Bildungspanels fuer Deutschland (No. 1). NEPS Working Paper. Bamberg: Otto-Friedrich-Universitaet, National Educational Panel Study ; [[URL link]](https://www.uni-bamberg.de/fileadmin/inbil/Publikationen/Working-Papers/WP_I.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","med0997",,340,,"The next questions are about your media usage. How much time do you spend per day on the following devices or activities? Please state as precisely as possible how much time you spend on the activity outside of school or working hours.","Im Folgenden geht es um Ihre Mediennutzung. Wie lange beschaeftigen Sie sich durchschnittlich pro Tag mit folgenden Geraeten bzw. Aktivitaeten? Geben Sie bitte moeglichst genau an, wieviel Zeit Sie mit der jeweiligen Aktivitaet ausserhalb der Arbeits- oder Schulzeit verbringen.",,,"med0100","cat",,,,,,,,,,"Blossfeld, H. P., von Maurice, J., & Schneider, T. (2011). Grundidee, Konzeption und Design des Nationalen Bildungspanels fuer Deutschland (No. 1). NEPS Working Paper. Bamberg: Otto-Friedrich-Universitaet, National Educational Panel Study","Blossfeld, H. P., von Maurice, J., & Schneider, T. (2011). Grundidee, Konzeption und Design des Nationalen Bildungspanels fuer Deutschland (No. 1). NEPS Working Paper. Bamberg: Otto-Friedrich-Universitaet, National Educational Panel Study ; [[URL link]](https://www.uni-bamberg.de/fileadmin/inbil/Publikationen/Working-Papers/WP_I.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","med1000",,341,,"The next questions are about your media usage. How much time do you spend per day on the following devices or activities? Please state as precisely as possible how much time you spend on the activity outside of school or working hours.","Im Folgenden geht es um Ihre Mediennutzung. Wie lange beschaeftigen Sie sich durchschnittlich pro Tag mit folgenden Geraeten bzw. Aktivitaeten? Geben Sie bitte moeglichst genau an, wieviel Zeit Sie mit der jeweiligen Aktivitaet ausserhalb der Arbeits- oder Schulzeit verbringen.",,,"med0100","int",,,,,,,,,,"Blossfeld, H. P., von Maurice, J., & Schneider, T. (2011). Grundidee, Konzeption und Design des Nationalen Bildungspanels fuer Deutschland (No. 1). NEPS Working Paper. Bamberg: Otto-Friedrich-Universitaet, National Educational Panel Study","Blossfeld, H. P., von Maurice, J., & Schneider, T. (2011). Grundidee, Konzeption und Design des Nationalen Bildungspanels fuer Deutschland (No. 1). NEPS Working Paper. Bamberg: Otto-Friedrich-Universitaet, National Educational Panel Study ; [[URL link]](https://www.uni-bamberg.de/fileadmin/inbil/Publikationen/Working-Papers/WP_I.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","med1097",,342,,"The next questions are about your media usage. How much time do you spend per day on the following devices or activities? Please state as precisely as possible how much time you spend on the activity outside of school or working hours.","Im Folgenden geht es um Ihre Mediennutzung. Wie lange beschaeftigen Sie sich durchschnittlich pro Tag mit folgenden Geraeten bzw. Aktivitaeten? Geben Sie bitte moeglichst genau an, wieviel Zeit Sie mit der jeweiligen Aktivitaet ausserhalb der Arbeits- oder Schulzeit verbringen.",,,"med0100","cat",,,,,,,,,,"Blossfeld, H. P., von Maurice, J., & Schneider, T. (2011). Grundidee, Konzeption und Design des Nationalen Bildungspanels fuer Deutschland (No. 1). NEPS Working Paper. Bamberg: Otto-Friedrich-Universitaet, National Educational Panel Study","Blossfeld, H. P., von Maurice, J., & Schneider, T. (2011). Grundidee, Konzeption und Design des Nationalen Bildungspanels fuer Deutschland (No. 1). NEPS Working Paper. Bamberg: Otto-Friedrich-Universitaet, National Educational Panel Study ; [[URL link]](https://www.uni-bamberg.de/fileadmin/inbil/Publikationen/Working-Papers/WP_I.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","net0100",,343,,"Below are three statements that you can either agree or disagree with. What is your opinion on the following three statements ?","Im Folgenden sehen Sie drei Aussagen, die man ablehnen oder denen man zustimmen kann. Wie ist Ihre Meinung zu den folgenden drei Aussagen?",,,,"txt",,,,,,,,,,"The German Socio-Economic Panel Study (SOEP): SOEP Core Study Youth 2014","TNS Infratest Sozialforschung. 2014. SOEP 2014 - Erhebungsinstrumente 2014 (Welle 31) des Sozio-oekonomischen Panels: Jugendfragebogen, Altstichproben. SOEP Survey Papers 238: Series A. Berlin: DIW/SOEP ; [[URL link]](http://panel.gsoep.de/soep-docs/surveypapers/diw_ssp0238.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","net0100","1",344,,"On the whole one can trust people.","Im Allgemeinen kann man den Menschen vertrauen.",,,"agr4","cat",,,,,,,,,,"The German Socio-Economic Panel Study (SOEP): SOEP Core Study Youth 2014","TNS Infratest Sozialforschung. 2014. SOEP 2014 - Erhebungsinstrumente 2014 (Welle 31) des Sozio-oekonomischen Panels: Jugendfragebogen, Altstichproben. SOEP Survey Papers 238: Series A. Berlin: DIW/SOEP ; [[URL link]](http://panel.gsoep.de/soep-docs/surveypapers/diw_ssp0238.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","net0100","2",345,,"Nowadays one can't rely on anyone.","Heutzutage kann man sich auf niemanden mehr verlassen.",,,"agr4","cat",,,,,,,,,,"The German Socio-Economic Panel Study (SOEP): SOEP Core Study Youth 2014","TNS Infratest Sozialforschung. 2014. SOEP 2014 - Erhebungsinstrumente 2014 (Welle 31) des Sozio-oekonomischen Panels: Jugendfragebogen, Altstichproben. SOEP Survey Papers 238: Series A. Berlin: DIW/SOEP ; [[URL link]](http://panel.gsoep.de/soep-docs/surveypapers/diw_ssp0238.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","net0100","3",346,,"If one is dealing with strangers, it is better to be careful before one can trust them.","Wenn man mit Fremden zu tun hat, ist es besser, vorsichtig zu sein, bevor man ihnen vertraut.",,,"agr4","cat",,,,,,,,,,"The German Socio-Economic Panel Study (SOEP): SOEP Core Study Youth 2014","TNS Infratest Sozialforschung. 2014. SOEP 2014 - Erhebungsinstrumente 2014 (Welle 31) des Sozio-oekonomischen Panels: Jugendfragebogen, Altstichproben. SOEP Survey Papers 238: Series A. Berlin: DIW/SOEP ; [[URL link]](http://panel.gsoep.de/soep-docs/surveypapers/diw_ssp0238.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","net0200",,347,,"Now a few general questions about your friends. What applies to you?","Nun noch einige allgemeine Fragen zu Ihren Freunden. Was trifft bei Ihnen zu?",,,,"txt",,,,,,,,,,"Panel Study Labour Market and Social Security (PASS): PASS personal questionnaire wave 6 2013 ; [[URL link]](http://doku.iab.de/fdz/reporte/2013/DR_06-13_EN.pdf)","Panel Arbeitsmarkt und soziale Sicherung (PASS): PASS Personenfragebogen Welle 6 2013 ; [[URL link]](http://doku.iab.de/fdz/reporte/2013/DR_06-13_III.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","net0200","1",348,,"Most of my friends know each other.","Die meisten meiner Freunde kennen sich untereinander.",,,"agr4_2","cat",,,,,,,,,,"Panel Study Labour Market and Social Security (PASS): PASS personal questionnaire wave 6 2013 ; [[URL link]](http://doku.iab.de/fdz/reporte/2013/DR_06-13_EN.pdf)","Panel Arbeitsmarkt und soziale Sicherung (PASS): PASS Personenfragebogen Welle 6 2013 ; [[URL link]](http://doku.iab.de/fdz/reporte/2013/DR_06-13_III.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","net0200","2",349,,"When my friends celebrate their birthdays there are usually many people that I don't know.","Auf Geburtstagsfeiern meiner Freunde sind meistens viele Personen, die ich kaum kenne.",,,"agr4_2","cat",,,,,,,,,,"Panel Study Labour Market and Social Security (PASS): PASS personal questionnaire wave 6 2013 ; [[URL link]](http://doku.iab.de/fdz/reporte/2013/DR_06-13_EN.pdf)","Panel Arbeitsmarkt und soziale Sicherung (PASS): PASS Personenfragebogen Welle 6 2013 ; [[URL link]](http://doku.iab.de/fdz/reporte/2013/DR_06-13_III.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","net0200","3",350,,"My close friends also know my family.","Meine engen Freunde kennen auch meine Familie.",,,"agr4_2","cat",,,,,,,,,,"Panel Study Labour Market and Social Security (PASS): PASS personal questionnaire wave 6 2013 ; [[URL link]](http://doku.iab.de/fdz/reporte/2013/DR_06-13_EN.pdf)","Panel Arbeitsmarkt und soziale Sicherung (PASS): PASS Personenfragebogen Welle 6 2013 ; [[URL link]](http://doku.iab.de/fdz/reporte/2013/DR_06-13_III.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","net0203",,351,,"Now a few general questions about your friends. What applies to you?","Nun folgen ein paar Fragen zu Ihrem Bekannten- und Freundeskreis: Wie viele enge Freundinnen und Freunde haben Sie? Dazu zaehlen auch Partner und Familienmitglieder, zu denen eine enge Beziehung besteht. Facebook-Freunde sind hier nicht gemeint.",,,"net0300","int",,,,,,,,,,"Panel Study Labour Market and Social Security (PASS): PASS personal questionnaire wave 6 2013 ; [[URL link]](http://doku.iab.de/fdz/reporte/2013/DR_06-13_EN.pdf)","Panel Arbeitsmarkt und soziale Sicherung (PASS): PASS Personenfragebogen Welle 6 2013 ; [[URL link]](http://doku.iab.de/fdz/reporte/2013/DR_06-13_III.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","net0289",,352,,"Now follow a few questions about your friends and acquaintances: How many close friends do you have? This includes family members who you are close to. This does not include Facebook friends.","Nun folgen ein paar Fragen zu Ihrem Bekannten- und Freundeskreis: Wie viele enge Freundinnen und Freunde haben Sie? Dazu zaehlen auch Partner und Familienmitglieder, zu denen eine enge Beziehung besteht. Facebook-Freunde sind hier nicht gemeint.",,,"net0300","cat",,,,,,,,,,"Panel Study Labour Market and Social Security (PASS): PASS personal questionnaire wave 6 2013 ; [[URL link]](http://doku.iab.de/fdz/reporte/2013/DR_06-13_EN.pdf)","Panel Arbeitsmarkt und soziale Sicherung (PASS): PASS Personenfragebogen Welle 6 2013 ; [[URL link]](http://doku.iab.de/fdz/reporte/2013/DR_06-13_III.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","net0204",,353,,"And how many of them do not live with you?","Und wie viele davon leben nicht bei Ihnen im Haushalt?",,,"net0300","int","net0203 >= -98 & net0203 < 999",,,,,,,,,"Panel Study Labour Market and Social Security (PASS): PASS personal questionnaire wave 6 2013 ; [[URL link]](http://doku.iab.de/fdz/reporte/2013/DR_06-13_EN.pdf)","Panel Arbeitsmarkt und soziale Sicherung (PASS): PASS Personenfragebogen Welle 6 2013 ; [[URL link]](http://doku.iab.de/fdz/reporte/2013/DR_06-13_III.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","net0298",,354,,"And how many of them do not live with you?","Und wie viele davon leben nicht bei Ihnen im Haushalt?",,,"net0300","cat","net0203 >= -98 & net0203 < 999",,,,,,,,,"Panel Study Labour Market and Social Security (PASS): PASS personal questionnaire wave 6 2013 ; [[URL link]](http://doku.iab.de/fdz/reporte/2013/DR_06-13_EN.pdf)","Panel Arbeitsmarkt und soziale Sicherung (PASS): PASS Personenfragebogen Welle 6 2013 ; [[URL link]](http://doku.iab.de/fdz/reporte/2013/DR_06-13_III.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","net0300",,355,,"Now please think of three people who don't live in your household who are important to you personally. We are only referring to people who are not your relatives. How old is the first person?","Denken Sie bitte nun an drei Personen, die nicht bei Ihnen zuhause leben, die fuer Sie persoenlich wichtig sind. Es geht hier nur um Personen, mit denen Sie nicht verwandt sind. Wie alt ist die erste Person?",,,"net0300","int",,,,,,,,,,"The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2011 ; [[URL link]](https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394180.de/soepfrabo_personen_2011_en.pdf)","Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2011
 ; [[URL link]](https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394133.de/soepfrabo_personen_2011.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","net0301",,356,,"Is the first person male or female?","Welches Geschlecht hat die erste Person?",,,"sex_2","cat",,,,,,,,,,"The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2011 ; [[URL link]](https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394180.de/soepfrabo_personen_2011_en.pdf)","Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2011
 ; [[URL link]](https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394133.de/soepfrabo_personen_2011.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","net0389",,357,,"Now please think of three people who don't live in your household who are important to you personally. We are only referring to people who are not your relatives. How old is the first person?","Denken Sie bitte nun an drei Personen, die nicht bei Ihnen zuhause leben, die fuer Sie persoenlich wichtig sind. Es geht hier nur um Personen, mit denen Sie nicht verwandt sind. Wie alt ist die erste Person?",,,"net0300","cat",,,,,,,,,,"The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2011 ; [[URL link]](https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394180.de/soepfrabo_personen_2011_en.pdf)","Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2011
 ; [[URL link]](https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394133.de/soepfrabo_personen_2011.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","net0302",,358,,"Which is the first person's highest school-leaving certificate?","Welchen hoechsten Schulabschluss hat die erste Person?",,,"eca0100_2","cat","net0300 != 999",,,,,,,,,"The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2011 ; [[URL link]](https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394180.de/soepfrabo_personen_2011_en.pdf)","Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2011
 ; [[URL link]](https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394133.de/soepfrabo_personen_2011.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","net0303",,359,,"What type of school does the first person attend?","Welche Schulform besucht die erste Person?",,,"edu0400_2","cat","net0300 != 999",,,,,,,,,"The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2011 ; [[URL link]](https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394180.de/soepfrabo_personen_2011_en.pdf)","Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2011
 ; [[URL link]](https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394133.de/soepfrabo_personen_2011.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","net0400",,360,,"How old is the second person?","Wie alt ist die zweite Person?",,,"net0300","int",,,,,,,,,,"The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2011 ; [[URL link]](https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394180.de/soepfrabo_personen_2011_en.pdf)","Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2011
 ; [[URL link]](https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394133.de/soepfrabo_personen_2011.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","net0401",,361,,"Is the second person male or female?","Welches Geschlecht hat die zweite Person?",,,"sex_2","cat",,,,,,,,,,"The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2011 ; [[URL link]](https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394180.de/soepfrabo_personen_2011_en.pdf)","Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2011
 ; [[URL link]](https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394133.de/soepfrabo_personen_2011.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","net0402",,362,,"Which is the second person's highest school-leaving certificate?","Welchen hoechsten Schulabschluss hat die zweite Person?",,,"eca0100_2","cat","net0300 != 999",,,,,,,,,"The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2011 ; [[URL link]](https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394180.de/soepfrabo_personen_2011_en.pdf)","Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2011
 ; [[URL link]](https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394133.de/soepfrabo_personen_2011.pdf)"
"twinlife","twinlife-2014-F2F_Alteri-Fragebogen","net0403",,363,,"What type of school does the second person attend?","Welche Schulform besucht die zweite Person?",,,"edu0400_2","cat","net0300 != 999",,,,,,,,,"The German Socio-Economic Panel Study (SOEP): SOEP Core Study Individual 2011 ; [[URL link]](https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394180.de/soepfrabo_personen_2011_en.pdf)","Sozio-oekonomisches Panel (SOEP): SOEP Personenfragebogen 2011
 ; [[URL link]](https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.394133.de/soepfrabo_personen_2011.pdf)"
