study_name,questionnaire_name,question_name,item,number,concept,text,text_de,instruction,instruction_de,answer_list,scale,filter,goto,label,variable_description,variable_description_de,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,answer_list_name,item_name
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,inc0400,,40,,If you look at the total income of all of the members of your household: what is your monthly household income today?,Wenn man einmal alle Einkuenfte zusammennimmt: Wie hoch ist das monatliche Haushaltseinkommen aller Haushaltsmitglieder heute?,,,mis,dec,,,,,,,,,,,,,,,,,,mis,
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,inc0402,,41,,If you can't or do not wish to tell us the exact amount, then please indicate in which income group your monthly gross income can be classified.,Wenn Sie einen exakten Betrag nicht nennen koennen oder wollen, dann geben Sie bitte an, in welche Einkommenskategorie das durchschnittliche monatliche Haushaltsnettoeinkommen eingeordnet werden kann.,,,inc0102,cat,inc0400 == -98 | inc0400 == -99,,,,,,,,,,,,,, in welche einkommenskategorie das durchschnittliche monatliche haushaltsnettoeinkommen eingeordnet werden kann.,
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0100,,42,,Now I would like to go once more through the persons who live in this household. I have already noted downﾅﾅ,Nun moechte ich noch einmal alle Personen durchgehen, die hier im Haushalt leben. Bereits notiert habe ich mir ﾅ,,,ptyp,cat,,,,,,,,,,,,,,,,,,
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0200,,43,,Now I would like to go once more through the persons who live in this household. I have already noted downﾅﾅ,Nun moechte ich noch einmal alle Personen durchgehen, die hier im Haushalt leben. Bereits notiert habe ich mir ﾅ,,,ptyp,cat,,,,,,,,,,,,,,,,,,
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0300,,44,,Now I would like to go once more through the persons who live in this household. I have already noted downﾅﾅ,Nun moechte ich noch einmal alle Personen durchgehen, die hier im Haushalt leben. Bereits notiert habe ich mir ﾅ,,,ptyp,cat,hpr0200 != -95,,,,,,,,,,,,,,,,,
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0400,,45,,Now I would like to go once more through the persons who live in this household. I have already noted downﾅﾅ,Nun moechte ich noch einmal alle Personen durchgehen, die hier im Haushalt leben. Bereits notiert habe ich mir ﾅ,,,ptyp,cat,hpr0300 != -95,,,,,,,,,,,,,,,,,
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0500,,46,,Now I would like to go once more through the persons who live in this household. I have already noted downﾅﾅ,Nun moechte ich noch einmal alle Personen durchgehen, die hier im Haushalt leben. Bereits notiert habe ich mir ﾅ,,,ptyp,cat,hpr0400 != -95,,,,,,,,,,,,,,,,,
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0600,,47,,Now I would like to go once more through the persons who live in this household. I have already noted downﾅﾅ,Nun moechte ich noch einmal alle Personen durchgehen, die hier im Haushalt leben. Bereits notiert habe ich mir ﾅ,,,ptyp,cat,hpr0500 != -95,,,,,,,,,,,,,,,,,
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0700,,48,,Now I would like to go once more through the persons who live in this household. I have already noted downﾅﾅ,Nun moechte ich noch einmal alle Personen durchgehen, die hier im Haushalt leben. Bereits notiert habe ich mir ﾅ,,,ptyp,cat,hpr0600 != -95,,,,,,,,,,,,,,,,,
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0800,,49,,Now I would like to go once more through the persons who live in this household. I have already noted downﾅﾅ,Nun moechte ich noch einmal alle Personen durchgehen, die hier im Haushalt leben. Bereits notiert habe ich mir ﾅ,,,ptyp,cat,hpr0700 != -95,,,,,,,,,,,,,,,,,
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0900,,50,,Now I would like to go once more through the persons who live in this household. I have already noted downﾅﾅ,Nun moechte ich noch einmal alle Personen durchgehen, die hier im Haushalt leben. Bereits notiert habe ich mir ﾅ,,,ptyp,cat,hpr0800 != -95,,,,,,,,,,,,,,,,,
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr1000,,51,,Now I would like to go once more through the persons who live in this household. I have already noted downﾅﾅ,Nun moechte ich noch einmal alle Personen durchgehen, die hier im Haushalt leben. Bereits notiert habe ich mir ﾅ,,,ptyp,cat,hpr0900 != -95,,,,,,,,,,,,,,,,,
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr1100,,52,,Now I would like to go once more through the persons who live in this household. I have already noted downﾅﾅ,Nun moechte ich noch einmal alle Personen durchgehen, die hier im Haushalt leben. Bereits notiert habe ich mir ﾅ,,,ptyp,cat,hpr1000 != -95,,,,,,,,,,,,,,,,,
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr1200,,53,,Now I would like to go once more through the persons who live in this household. I have already noted downﾅﾅ,Nun moechte ich noch einmal alle Personen durchgehen, die hier im Haushalt leben. Bereits notiert habe ich mir ﾅ,,,ptyp,cat,hpr1100 != -95,,,,,,,,,,,,,,,,,
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr1300,,54,,Now I would like to go once more through the persons who live in this household. I have already noted downﾅﾅ,Nun moechte ich noch einmal alle Personen durchgehen, die hier im Haushalt leben. Bereits notiert habe ich mir ﾅ,,,ptyp,cat,hpr1200 != -95,,,,,,,,,,,,,,,,,
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr1400,,55,,Now I would like to go once more through the persons who live in this household. I have already noted downﾅﾅ,Nun moechte ich noch einmal alle Personen durchgehen, die hier im Haushalt leben. Bereits notiert habe ich mir ﾅ,,,ptyp,cat,hpr1300 != -95,,,,,,,,,,,,,,,,,
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr1500,,56,,Now I would like to go once more through the persons who live in this household. I have already noted downﾅﾅ,Nun moechte ich noch einmal alle Personen durchgehen, die hier im Haushalt leben. Bereits notiert habe ich mir ﾅ,,,ptyp,cat,hpr1400 != -95,,,,,,,,,,,,,,,,,
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0101,,57,,Please state what applies to the person.,Wenn mehr als 1 Person im HH: Bitte geben Sie an, was in Bezug auf Schule oder Erwerbstaetigkeit aktuell auf diese Personen zutrifft. / Wenn 1 Person im HH: Bitte geben Sie jeweils an, was in Bezug auf Schule oder Erwerbstaetigkeit aktuell auf diese Personen zutrifft.,,,mn,txt,,,,,,,,,,,,,,,,,
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0101,1.0,58,,Please state what applies to the person.,Kindergarten / KITA,,,mn,cat,,,,,,,,,,,,,,,,,,mn,1.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0102,2.0,59,,Please state what applies to the person.,Allgemein bildende Schule (1. Bildungsweg),,,mn,cat,,,,,,,,,,,,,,,,,,mn,2.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0103,3.0,60,,Please state what applies to the person.,Ausbildung, Hochschule, Weiterbildung, andere Schule (z.B. 2. Bildungsweg),,,mn,cat,,,,,,,,,,,,,,, andere schule (z.b. 2. bildungsweg),3.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0104,4.0,61,,Please state what applies to the person.,Voll erwerbstaetig,,,mn,cat,,,,,,,,,,,,,,,,,,mn,4.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0105,5.0,62,,Please state what applies to the person.,Teilzeitbeschaeftigt (auch bei parallelen Teilzeittaetigkeiten),,,mn,cat,,,,,,,,,,,,,,,,,,mn,5.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0106,6.0,63,,Please state what applies to the person.,In betrieblicher Ausbildung / Lehre oder betrieblicher Umschulung,,,mn,cat,,,,,,,,,,,,,,,,,,mn,6.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0107,7.0,64,,Please state what applies to the person.,Geringfuegig erwerbstaetig, Mini Job, Ein-Euro-Job (bei Bezug von Arbeitslosengeld 2),,,mn,cat,,,,,,,,,,,,,,,,,7.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0108,8.0,65,,Please state what applies to the person.,Gelegentlich oder unregelmaessig beschaeftigt,,,mn,cat,,,,,,,,,,,,,,,,,,mn,8.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0109,9.0,66,,Please state what applies to the person.,Freiwilliger Wehrdienst,,,mn,cat,,,,,,,,,,,,,,,,,,mn,9.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0110,10.0,67,,Please state what applies to the person.,Freiwilliges soziales / oekologisches Jahr, Bundesfreiwilligendienst,,,mn,cat,,,,,,,,,,,,,,,,,,10.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0111,11.0,68,,Please state what applies to the person.,Arbeitslos, arbeitsuchend gemeldet (beim der Agentur fuer Arbeit, Arbeitsamt),,,mn,cat,,,,,,,,,,,,,,,,,11.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0112,12.0,69,,Please state what applies to the person.,Mutterschutz, Elternzeit, Beurlaubung / Sonderurlaub wegen Kinderbetreuung,,,mn,cat,,,,,,,,,,,,,,,,,12.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0113,13.0,70,,Please state what applies to the person.,Hausfrau / Hausmann,,,mn,cat,,,,,,,,,,,,,,,,,,mn,13.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0114,14.0,71,,Please state what applies to the person.,Vorruhestaendler, Rentner, erwerbsunfaehig,,,mn,cat,,,,,,,,,,,,,,,,,14.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0115,15.0,72,,Please state what applies to the person.,In Altersteilzeit mit Arbeitszeit Null,,,mn,cat,,,,,,,,,,,,,,,,,,mn,15.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0116,16.0,73,,Please state what applies to the person.,Nicht erwerbstaetig,,,mn,cat,,,,,,,,,,,,,,,,,,mn,16.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0120,17.0,74,,Please state what applies to the person.,Sonstiges,,,mn,cat,,,,,,,,,,,,,,,,,,mn,17.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0198,18.0,75,,Please state what applies to the person.,Weiss nicht,,,mn,cat,,,,,,,,,,,,,,,,,,mn,18.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0199,19.0,76,,Please state what applies to the person.,Keine Angabe,,,mn,cat,,,,,,,,,,,,,,,,,,mn,19.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0201,,77,,Please state what applies to the person.,Wenn mehr als 1 Person im HH: Bitte geben Sie an, was in Bezug auf Schule oder Erwerbstaetigkeit aktuell auf diese Personen zutrifft. / Wenn 1 Person im HH: Bitte geben Sie jeweils an, was in Bezug auf Schule oder Erwerbstaetigkeit aktuell auf diese Personen zutrifft.,,,mn,txt,hpr0200 != -95,,,,,,,,,,,,,,,,
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0201,1.0,78,,Please state what applies to the person.,Kindergarten / KITA,,,mn,cat,,,,,,,,,,,,,,,,,,mn,1.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0202,2.0,79,,Please state what applies to the person.,Allgemein bildende Schule (1. Bildungsweg),,,mn,cat,,,,,,,,,,,,,,,,,,mn,2.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0203,3.0,80,,Please state what applies to the person.,Ausbildung, Hochschule, Weiterbildung, andere Schule (z.B. 2. Bildungsweg),,,mn,cat,,,,,,,,,,,,,,, andere schule (z.b. 2. bildungsweg),3.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0204,4.0,81,,Please state what applies to the person.,Voll erwerbstaetig,,,mn,cat,,,,,,,,,,,,,,,,,,mn,4.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0205,5.0,82,,Please state what applies to the person.,Teilzeitbeschaeftigt (auch bei parallelen Teilzeittaetigkeiten),,,mn,cat,,,,,,,,,,,,,,,,,,mn,5.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0206,6.0,83,,Please state what applies to the person.,In betrieblicher Ausbildung / Lehre oder betrieblicher Umschulung,,,mn,cat,,,,,,,,,,,,,,,,,,mn,6.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0207,7.0,84,,Please state what applies to the person.,Geringfuegig erwerbstaetig, Mini Job, Ein-Euro-Job (bei Bezug von Arbeitslosengeld 2),,,mn,cat,,,,,,,,,,,,,,,,,7.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0208,8.0,85,,Please state what applies to the person.,Gelegentlich oder unregelmaessig beschaeftigt,,,mn,cat,,,,,,,,,,,,,,,,,,mn,8.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0209,9.0,86,,Please state what applies to the person.,Freiwilliger Wehrdienst,,,mn,cat,,,,,,,,,,,,,,,,,,mn,9.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0210,10.0,87,,Please state what applies to the person.,Freiwilliges soziales / oekologisches Jahr, Bundesfreiwilligendienst,,,mn,cat,,,,,,,,,,,,,,,,,,10.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0211,11.0,88,,Please state what applies to the person.,Arbeitslos, arbeitsuchend gemeldet (beim der Agentur fuer Arbeit, Arbeitsamt),,,mn,cat,,,,,,,,,,,,,,,,,11.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0212,12.0,89,,Please state what applies to the person.,Mutterschutz, Elternzeit, Beurlaubung / Sonderurlaub wegen Kinderbetreuung,,,mn,cat,,,,,,,,,,,,,,,,,12.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0213,13.0,90,,Please state what applies to the person.,Hausfrau / Hausmann,,,mn,cat,,,,,,,,,,,,,,,,,,mn,13.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0214,14.0,91,,Please state what applies to the person.,Vorruhestaendler, Rentner, erwerbsunfaehig,,,mn,cat,,,,,,,,,,,,,,,,,14.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0215,15.0,92,,Please state what applies to the person.,In Altersteilzeit mit Arbeitszeit Null,,,mn,cat,,,,,,,,,,,,,,,,,,mn,15.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0216,16.0,93,,Please state what applies to the person.,Nicht erwerbstaetig,,,mn,cat,,,,,,,,,,,,,,,,,,mn,16.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0220,17.0,94,,Please state what applies to the person.,Sonstiges,,,mn,cat,,,,,,,,,,,,,,,,,,mn,17.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0298,18.0,95,,Please state what applies to the person.,Weiss nicht,,,mn,cat,,,,,,,,,,,,,,,,,,mn,18.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0299,19.0,96,,Please state what applies to the person.,Keine Angabe,,,mn,cat,,,,,,,,,,,,,,,,,,mn,19.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0301,,97,,Please state what applies to the person.,Wenn mehr als 1 Person im HH: Bitte geben Sie an, was in Bezug auf Schule oder Erwerbstaetigkeit aktuell auf diese Personen zutrifft. / Wenn 1 Person im HH: Bitte geben Sie jeweils an, was in Bezug auf Schule oder Erwerbstaetigkeit aktuell auf diese Personen zutrifft.,,,mn,txt,hpr0300 != -95,,,,,,,,,,,,,,,,
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0301,1.0,98,,Please state what applies to the person.,Kindergarten / KITA,,,mn,cat,,,,,,,,,,,,,,,,,,mn,1.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0302,2.0,99,,Please state what applies to the person.,Allgemein bildende Schule (1. Bildungsweg),,,mn,cat,,,,,,,,,,,,,,,,,,mn,2.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0303,3.0,100,,Please state what applies to the person.,Ausbildung, Hochschule, Weiterbildung, andere Schule (z.B. 2. Bildungsweg),,,mn,cat,,,,,,,,,,,,,,, andere schule (z.b. 2. bildungsweg),3.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0304,4.0,101,,Please state what applies to the person.,Voll erwerbstaetig,,,mn,cat,,,,,,,,,,,,,,,,,,mn,4.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0305,5.0,102,,Please state what applies to the person.,Teilzeitbeschaeftigt (auch bei parallelen Teilzeittaetigkeiten),,,mn,cat,,,,,,,,,,,,,,,,,,mn,5.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0306,6.0,103,,Please state what applies to the person.,In betrieblicher Ausbildung / Lehre oder betrieblicher Umschulung,,,mn,cat,,,,,,,,,,,,,,,,,,mn,6.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0307,7.0,104,,Please state what applies to the person.,Geringfuegig erwerbstaetig, Mini Job, Ein-Euro-Job (bei Bezug von Arbeitslosengeld 2),,,mn,cat,,,,,,,,,,,,,,,,,7.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0308,8.0,105,,Please state what applies to the person.,Gelegentlich oder unregelmaessig beschaeftigt,,,mn,cat,,,,,,,,,,,,,,,,,,mn,8.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0309,9.0,106,,Please state what applies to the person.,Freiwilliger Wehrdienst,,,mn,cat,,,,,,,,,,,,,,,,,,mn,9.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0310,10.0,107,,Please state what applies to the person.,Freiwilliges soziales / oekologisches Jahr, Bundesfreiwilligendienst,,,mn,cat,,,,,,,,,,,,,,,,,,10.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0311,11.0,108,,Please state what applies to the person.,Arbeitslos, arbeitsuchend gemeldet (beim der Agentur fuer Arbeit, Arbeitsamt),,,mn,cat,,,,,,,,,,,,,,,,,11.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0312,12.0,109,,Please state what applies to the person.,Mutterschutz, Elternzeit, Beurlaubung / Sonderurlaub wegen Kinderbetreuung,,,mn,cat,,,,,,,,,,,,,,,,,12.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0313,13.0,110,,Please state what applies to the person.,Hausfrau / Hausmann,,,mn,cat,,,,,,,,,,,,,,,,,,mn,13.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0314,14.0,111,,Please state what applies to the person.,Vorruhestaendler, Rentner, erwerbsunfaehig,,,mn,cat,,,,,,,,,,,,,,,,,14.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0315,15.0,112,,Please state what applies to the person.,In Altersteilzeit mit Arbeitszeit Null,,,mn,cat,,,,,,,,,,,,,,,,,,mn,15.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0316,16.0,113,,Please state what applies to the person.,Nicht erwerbstaetig,,,mn,cat,,,,,,,,,,,,,,,,,,mn,16.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0320,17.0,114,,Please state what applies to the person.,Sonstiges,,,mn,cat,,,,,,,,,,,,,,,,,,mn,17.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0398,18.0,115,,Please state what applies to the person.,Weiss nicht,,,mn,cat,,,,,,,,,,,,,,,,,,mn,18.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0399,19.0,116,,Please state what applies to the person.,Keine Angabe,,,mn,cat,,,,,,,,,,,,,,,,,,mn,19.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0401,,117,,Please state what applies to the person.,Wenn mehr als 1 Person im HH: Bitte geben Sie an, was in Bezug auf Schule oder Erwerbstaetigkeit aktuell auf diese Personen zutrifft. / Wenn 1 Person im HH: Bitte geben Sie jeweils an, was in Bezug auf Schule oder Erwerbstaetigkeit aktuell auf diese Personen zutrifft.,,,mn,txt,hpr0400 != -95,,,,,,,,,,,,,,,,
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0401,1.0,118,,Please state what applies to the person.,Kindergarten / KITA,,,mn,cat,,,,,,,,,,,,,,,,,,mn,1.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0402,2.0,119,,Please state what applies to the person.,Allgemein bildende Schule (1. Bildungsweg),,,mn,cat,,,,,,,,,,,,,,,,,,mn,2.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0403,3.0,120,,Please state what applies to the person.,Ausbildung, Hochschule, Weiterbildung, andere Schule (z.B. 2. Bildungsweg),,,mn,cat,,,,,,,,,,,,,,, andere schule (z.b. 2. bildungsweg),3.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0404,4.0,121,,Please state what applies to the person.,Voll erwerbstaetig,,,mn,cat,,,,,,,,,,,,,,,,,,mn,4.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0405,5.0,122,,Please state what applies to the person.,Teilzeitbeschaeftigt (auch bei parallelen Teilzeittaetigkeiten),,,mn,cat,,,,,,,,,,,,,,,,,,mn,5.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0406,6.0,123,,Please state what applies to the person.,In betrieblicher Ausbildung / Lehre oder betrieblicher Umschulung,,,mn,cat,,,,,,,,,,,,,,,,,,mn,6.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0407,7.0,124,,Please state what applies to the person.,Geringfuegig erwerbstaetig, Mini Job, Ein-Euro-Job (bei Bezug von Arbeitslosengeld 2),,,mn,cat,,,,,,,,,,,,,,,,,7.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0408,8.0,125,,Please state what applies to the person.,Gelegentlich oder unregelmaessig beschaeftigt,,,mn,cat,,,,,,,,,,,,,,,,,,mn,8.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0409,9.0,126,,Please state what applies to the person.,Freiwilliger Wehrdienst,,,mn,cat,,,,,,,,,,,,,,,,,,mn,9.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0410,10.0,127,,Please state what applies to the person.,Freiwilliges soziales / oekologisches Jahr, Bundesfreiwilligendienst,,,mn,cat,,,,,,,,,,,,,,,,,,10.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0411,11.0,128,,Please state what applies to the person.,Arbeitslos, arbeitsuchend gemeldet (beim der Agentur fuer Arbeit, Arbeitsamt),,,mn,cat,,,,,,,,,,,,,,,,,11.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0412,12.0,129,,Please state what applies to the person.,Mutterschutz, Elternzeit, Beurlaubung / Sonderurlaub wegen Kinderbetreuung,,,mn,cat,,,,,,,,,,,,,,,,,12.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0413,13.0,130,,Please state what applies to the person.,Hausfrau / Hausmann,,,mn,cat,,,,,,,,,,,,,,,,,,mn,13.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0414,14.0,131,,Please state what applies to the person.,Vorruhestaendler, Rentner, erwerbsunfaehig,,,mn,cat,,,,,,,,,,,,,,,,,14.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0415,15.0,132,,Please state what applies to the person.,In Altersteilzeit mit Arbeitszeit Null,,,mn,cat,,,,,,,,,,,,,,,,,,mn,15.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0416,16.0,133,,Please state what applies to the person.,Nicht erwerbstaetig,,,mn,cat,,,,,,,,,,,,,,,,,,mn,16.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0420,17.0,134,,Please state what applies to the person.,Sonstiges,,,mn,cat,,,,,,,,,,,,,,,,,,mn,17.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0498,18.0,135,,Please state what applies to the person.,Weiss nicht,,,mn,cat,,,,,,,,,,,,,,,,,,mn,18.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0499,19.0,136,,Please state what applies to the person.,Keine Angabe,,,mn,cat,,,,,,,,,,,,,,,,,,mn,19.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0501,,137,,Please state what applies to the person.,Wenn mehr als 1 Person im HH: Bitte geben Sie an, was in Bezug auf Schule oder Erwerbstaetigkeit aktuell auf diese Personen zutrifft. / Wenn 1 Person im HH: Bitte geben Sie jeweils an, was in Bezug auf Schule oder Erwerbstaetigkeit aktuell auf diese Personen zutrifft.,,,mn,txt,hpr0500 != -95,,,,,,,,,,,,,,,,
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0501,1.0,138,,Please state what applies to the person.,Kindergarten / KITA,,,mn,cat,,,,,,,,,,,,,,,,,,mn,1.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0502,2.0,139,,Please state what applies to the person.,Allgemein bildende Schule (1. Bildungsweg),,,mn,cat,,,,,,,,,,,,,,,,,,mn,2.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0503,3.0,140,,Please state what applies to the person.,Ausbildung, Hochschule, Weiterbildung, andere Schule (z.B. 2. Bildungsweg),,,mn,cat,,,,,,,,,,,,,,, andere schule (z.b. 2. bildungsweg),3.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0504,4.0,141,,Please state what applies to the person.,Voll erwerbstaetig,,,mn,cat,,,,,,,,,,,,,,,,,,mn,4.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0505,5.0,142,,Please state what applies to the person.,Teilzeitbeschaeftigt (auch bei parallelen Teilzeittaetigkeiten),,,mn,cat,,,,,,,,,,,,,,,,,,mn,5.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0506,6.0,143,,Please state what applies to the person.,In betrieblicher Ausbildung / Lehre oder betrieblicher Umschulung,,,mn,cat,,,,,,,,,,,,,,,,,,mn,6.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0507,7.0,144,,Please state what applies to the person.,Geringfuegig erwerbstaetig, Mini Job, Ein-Euro-Job (bei Bezug von Arbeitslosengeld 2),,,mn,cat,,,,,,,,,,,,,,,,,7.0
twinlife-panel,twinlife-panel-2014-f2f_haushaltsfragebogen,hpr0508,8.0,145,,Please state what applies to the person.,Gelegentlich oder unregelmaessig beschaeftigt,,,mn,cat,,,,,,,,,,,,,,,,,,mn,8.0
